dataset,experiment_idx,method,cindex,IPEC (0.50),IPEC (0.60),IPEC (0.70),IPEC (0.75),IPEC (0.80),IPEC (0.90),IPEC (1.00)
pbc,0,cdfreg k-NN l1,0.8717217787913341,0.11675137411849108,0.1319231505469348,0.14112049481570613,0.14711764155644358,0.17073186696996057,0.18453389542757256,0.20802823306522306
pbc,0,cdfreg k-NN l2,0.8449258836944128,0.12925512533322642,0.14092745604125734,0.14715126573652262,0.14911204719867127,0.1520363555869646,0.1555601257416727,0.19680302504033673
pbc,0,cdfreg k-NN cosine,0.8534777651083238,0.1496064607131694,0.15840942011383652,0.16320921968536328,0.16820503233389664,0.17620901586197368,0.19688343409116277,0.17259412696277782
pbc,0,cdfreg k-NN (triangle) l1,0.830102622576967,0.11631410491515383,0.13693404425961478,0.14848372032913665,0.15616589974517708,0.1673378055056819,0.19925739322757818,0.2081318588237566
pbc,0,cdfreg k-NN (triangle) l2,0.8158494868871151,0.1313679346763817,0.13640158495020108,0.139739810406062,0.14228695286160525,0.14537636020501526,0.19515319483573937,0.1811158146027594
pbc,0,cdfreg k-NN (triangle) cosine,0.8591790193842646,0.134319569571019,0.14366701554327133,0.14905697055311382,0.154357909968965,0.1625301516582064,0.17135456040911615,0.1681884573463027
pbc,0,cdfreg k-NN (Epanechnikov) l1,0.8340935005701254,0.11642380654710183,0.1370432302469329,0.14654794848217237,0.1501720054265655,0.15491292902645806,0.19955455713909032,0.2400831808512337
pbc,0,cdfreg k-NN (Epanechnikov) l2,0.8158494868871151,0.12731065619048104,0.1411476919506506,0.14012407144234681,0.1426088995198143,0.14559042627176783,0.15025165008024308,0.22977384131596545
pbc,0,cdfreg k-NN (Epanechnikov) cosine,0.8603192702394526,0.1345693122736845,0.1438930427503713,0.14927423990344726,0.15456555201770936,0.17437741950842214,0.17115051866402553,0.1960498564599848
pbc,0,cdfreg k-NN (truncated Gauss sigma=1) l1,0.8375142531356898,0.1166276939052563,0.13183093755719735,0.1410633462219034,0.14701355043094627,0.1554964588609159,0.2033383523682257,0.20069740277115014
pbc,0,cdfreg k-NN (truncated Gauss sigma=1) l2,0.8608893956670467,0.12863887195620907,0.14022830063997313,0.14644742853403184,0.14843335931359924,0.15134641107435975,0.15491124205579457,0.1948205398199557
pbc,0,cdfreg k-NN (truncated Gauss sigma=1) cosine,0.863740022805017,0.1492614419435981,0.1579054527859728,0.1626863676536271,0.16765991114882217,0.17562606102348452,0.18587263351735153,0.17254914691311518
pbc,0,cdfreg k-NN (truncated Gauss sigma=2) l1,0.8717217787913341,0.11672127928879776,0.13190000109062192,0.16251910301883302,0.16569338087628774,0.17049949968449638,0.18414460028631757,0.20751718623177862
pbc,0,cdfreg k-NN (truncated Gauss sigma=2) l2,0.8608893956670467,0.12910353297331909,0.1407543434279331,0.14621714793234464,0.15039949090659147,0.15186221192999913,0.21532908559042277,0.19630829142922723
