dataset,experiment_idx,method,cindex,IPEC (0.50),IPEC (0.60),IPEC (0.70),IPEC (0.75),IPEC (0.80),IPEC (0.90),IPEC (1.00)
pbc,0,cox,0.8415051311288484,0.09566483967659041,0.10286845647243244,0.10657079090649346,0.1096732398462913,0.115228680410686,0.12348363394698994,0.1209779739521282
gbsg2,0,cox,0.6772859280119686,0.10925004015183115,0.1262756229541604,0.14932838749086658,0.1574124872177242,0.1640416584191079,0.18675092141800465,0.4064113356965314
recid,0,cox,0.6697929417443925,0.16389459930558326,0.16622457829001808,0.16804394438475073,0.17339362730556115,0.17339362730556115,0.1889210455016646,0.2236013834688606
pbc,1,cox,0.8206388206388207,0.10552479625471013,0.11770902597735643,0.13427342403291412,0.14471421857853398,0.16062304777141084,0.18668280814647187,0.2310121660572359
gbsg2,1,cox,0.677200163733115,0.11763494710311882,0.14071522446151608,0.16000172723706552,0.16738450850173126,0.17256115397279875,0.1896497672323707,0.2548573835619777
recid,1,cox,0.6658289323982407,0.16521667678005297,0.1677098339333086,0.1696073481736655,0.1748542317054446,0.1748542317054446,0.19098826027909102,0.22655716568076975
pbc,2,cox,0.8268156424581006,0.06782798380001649,0.08045024137633205,0.09481673570125235,0.10961799639489703,0.14009513797724196,0.17971175622995594,0.20572080831432685
gbsg2,2,cox,0.666863257224703,0.1310445885689238,0.1469957149704649,0.16902834247863296,0.17636427019390497,0.18233554695195126,0.20838717837053178,0.4026409731823913
recid,2,cox,0.6480411487355336,0.16249799108348248,0.16482316997018706,0.16867301300036852,0.17118918897180066,0.17501612020799143,0.18688975256276677,0.22940027883335704
pbc,3,cox,0.815041782729805,0.10287568037438943,0.11675535897919452,0.1286053107691917,0.13527951946049357,0.15022659525349033,0.17473203169757442,0.19331687468785838
gbsg2,3,cox,0.6734776288160232,0.12445204936978954,0.14631822278250656,0.16854957924627775,0.17763036103890592,0.1853135515488911,0.2133873554257714,0.5228782385752182
recid,3,cox,0.6550089630446774,0.1640207232930918,0.16665401051650436,0.17078552559612856,0.17344628705138174,0.17706075462252904,0.18922654769842145,0.23077000972127987
pbc,4,cox,0.8005763688760807,0.10477935964039962,0.11674998193311588,0.12712160385843116,0.1316452070563627,0.14274544713326653,0.15773370354312033,0.16836755034024237
gbsg2,4,cox,0.6751608751608752,0.11409287413995658,0.13692336197470462,0.15673042065540838,0.16458854068840947,0.1702086027192863,0.1960799127079184,0.44904081031882725
recid,4,cox,0.6620377703856241,0.15539883301322469,0.15760085220629064,0.16109405544885183,0.16338268154901164,0.16687446864922817,0.17870017086104953,0.22014300664126038
pbc,5,cox,0.818342151675485,0.08761306791873799,0.1004954566285079,0.10690815198195577,0.11427371933223496,0.12662744796634992,0.1508668505914165,0.19955506459765862
gbsg2,5,cox,0.6837275531999051,0.1275662613261481,0.14243825859393244,0.16359663572761549,0.17410960735019138,0.18123118746868622,0.2096651143423984,0.43526548502482143
recid,5,cox,0.6144361674800924,0.16848857738279754,0.17072594085104595,0.174452145135289,0.17691882888225519,0.18014529571528942,0.1904758469349248,0.22447604801159263
pbc,6,cox,0.7623012869038607,0.061912044533606124,0.07905375140943542,0.09212658997805882,0.10289256942437125,0.12410203389476873,0.1661600664276576,0.2755852943365448
gbsg2,6,cox,0.664025221540559,0.11365867297393988,0.13005825458014003,0.1551648551085712,0.1676695354671421,0.17479421813517146,0.19355994078535455,0.33019780096277873
recid,6,cox,0.621287941727689,0.15928225656051914,0.16153653060734013,0.16308395263002348,0.16740035386926327,0.17039753752348683,0.1798660559193026,0.21028402662875728
pbc,7,cox,0.8222361809045227,0.06237850553007328,0.07635943061307383,0.08669053207301097,0.09437249195005808,0.11533955708439037,0.15734280938339792,0.20283230300751773
gbsg2,7,cox,0.6735065364884991,0.10967880012227071,0.13507321253722224,0.15629441116032858,0.16650392969127595,0.1739602984065249,0.19968699400489517,0.47909069042555497
recid,7,cox,0.6342017041486241,0.16091551079928934,0.1632387283069642,0.16708454379069462,0.1696388082776253,0.1732675595271444,0.1847452630663255,0.2202411195067276
pbc,8,cox,0.7794843664289632,0.09687183435271088,0.11152942715004288,0.12421760106985988,0.1347748098538278,0.14692571035418206,0.17180661361036065,0.24558172337028777
gbsg2,8,cox,0.6684552845528455,0.11991043930705562,0.14115947563048736,0.1615827342505616,0.17047677799384253,0.17562439941322353,0.20019945083093083,0.3513485976282751
recid,8,cox,0.6552347498286497,0.16341032199279365,0.16596510292058309,0.16791394521395775,0.1732856702743044,0.1732856702743044,0.1899699881257564,0.23025718117776106
pbc,9,cox,0.8060372511239563,0.08372029996167507,0.09456823777719083,0.10671369538898613,0.11321965613966815,0.12839973593161294,0.18464758889836025,0.25392382204282166
gbsg2,9,cox,0.676773802304427,0.13793988768724003,0.1585479080383009,0.1769641991149346,0.19076767017457777,0.19650763395297435,0.22375975948537635,0.7730936209760936
recid,9,cox,0.6205684648718736,0.1749102098692753,0.1762212314482854,0.18041248179852187,0.18326653987907765,0.18722349277098177,0.2000056756337975,0.2429577112493939
