dataset,experiment_idx,method,cindex,IPEC (0.50),IPEC (0.60),IPEC (0.70),IPEC (0.75),IPEC (0.80),IPEC (0.90),IPEC (1.00)
pbc,0,kernel (box) l1,0.7280501710376283,0.12206697390792942,0.14317295780902653,0.1530241736269329,0.16333155815115466,0.18112671229519883,0.23608528580673369,0.3234394785758188
pbc,0,kernel (box) l2,0.7517103762827823,0.11042179202087929,0.1274273212628045,0.13545805153380022,0.14485438440696582,0.16178572877970615,0.20787866209484498,0.254376329363535
pbc,0,kernel (box) cosine,0.5,0.14093230991181613,0.17056206772936394,0.1822019962169173,0.19430544547326475,0.21286397870522206,0.25281194670574075,0.28153816842601426
pbc,0,kernel (triangle) l1,0.7041049030786773,0.1238265925323533,0.14325666996993838,0.15245579578268928,0.1614092736979997,0.1771962714099868,0.23155558729234052,0.32133794146650985
pbc,0,kernel (triangle) l2,0.878563283922463,0.10146381010885444,0.1183174398981267,0.12600943345144333,0.13374474120894733,0.14754493944864822,0.18960157406467043,0.22535247026064334
pbc,0,kernel (triangle) cosine,0.8557582668187002,0.12871711769192037,0.15361258763236457,0.16352255982299432,0.1738849215599195,0.19013728664287033,0.2248918567346119,0.2539749071175019
pbc,0,kernel (Epanechnikov) l1,0.7063854047890535,0.12378819502463563,0.14334424860250747,0.1526116518638375,0.16175311849475896,0.1778419609783596,0.2324431625855608,0.32196914368922563
pbc,0,kernel (Epanechnikov) l2,0.8762827822120867,0.11391551131000015,0.12890100796371315,0.1450781438195087,0.1535080072275871,0.169020369681507,0.19126575579177052,0.22769038884081008
pbc,0,kernel (Epanechnikov) cosine,0.8506271379703535,0.13352457522530006,0.160103024687435,0.1706211348382479,0.1816053476933502,0.19869709764927035,0.24049741693314125,0.26120932835594907
pbc,0,kernel (truncated Gauss sigma=1) l1,0.7309007981755986,0.12185044677576204,0.14272329178235094,0.15246245475283995,0.16255064191318902,0.17998775854387017,0.23468847138421467,0.32187895591783217
pbc,0,kernel (truncated Gauss sigma=1) l2,0.8779931584948689,0.11038414191593872,0.12717183713231336,0.15169358018630744,0.16165096052275754,0.17953598109762406,0.23594724385337576,0.2520232815154093
pbc,0,kernel (truncated Gauss sigma=1) cosine,0.8517673888255416,0.13848153621344442,0.1676840421372312,0.1790186727820016,0.1908190723237175,0.20898182559470008,0.24846432868927243,0.2760049192874563
pbc,0,kernel (truncated Gauss sigma=2) l1,0.7291904218928165,0.12200895245355806,0.1430568793177957,0.1528805491016709,0.16313455416362155,0.1808422468883743,0.23573727669189348,0.3230428477336783
pbc,0,kernel (truncated Gauss sigma=2) l2,0.8762827822120867,0.12214674549825126,0.12735793633269338,0.13536170737982103,0.1447058940114426,0.18088281350071,0.23779159943862938,0.24812299452456946
pbc,0,kernel (truncated Gauss sigma=2) cosine,0.8511972633979475,0.14031380085818568,0.16968888806635796,0.18123600732038772,0.19324746656905836,0.21168605701654597,0.2512192450116464,0.27952062618844165
pbc,0,kernel (truncated Gauss sigma=3) l1,0.7286202964652223,0.12204089834769148,0.14312110465032493,0.1529601199230065,0.1632439001154304,0.18100035538229223,0.23593075510894546,0.32326271536676177
pbc,0,kernel (truncated Gauss sigma=3) l2,0.8591790193842646,0.11041505394984909,0.12739606032981063,0.13541480889872068,0.14478804169593393,0.18113394054038276,0.20753421279051923,0.2541111918572427
