dataset,experiment_idx,method,cindex,IPEC (0.50),IPEC (0.60),IPEC (0.70),IPEC (0.75),IPEC (0.80),IPEC (0.90),IPEC (1.00)
pbc,0,k-NN l1,0.8506271379703535,0.09507406907886261,0.11020790074898647,0.11486710660790807,0.12151367189906613,0.13464623362340725,0.1796641016090427,0.24052203844293668
pbc,0,k-NN l2,0.8169897377423033,0.07967795964515485,0.0912373606282631,0.09677031161057183,0.10114706186722984,0.109303997366491,0.147922697578522,0.2116686885243432
pbc,0,k-NN cosine,0.8204104903078677,0.08171419300409537,0.09283583546967271,0.09737077922226257,0.10083645531048711,0.10755565542925655,0.12707881620754022,0.1483446047645767
pbc,0,k-NN (triangle) l1,0.8432155074116305,0.09161966017356835,0.10567835821572338,0.11170364088896294,0.11719346638691111,0.1276448366393624,0.17139301668104456,0.2280691648615384
pbc,0,k-NN (triangle) l2,0.8734321550741163,0.08599225024424312,0.09563272594108312,0.0999589192223838,0.10266326272540595,0.1085190087829574,0.14184072095954814,0.19435287256056227
pbc,0,k-NN (triangle) cosine,0.8580387685290763,0.08141301031126005,0.091480718325139,0.09581640012364778,0.09919670346583125,0.10603954754941834,0.1284679768538352,0.1532295926754338
pbc,0,k-NN (Epanechnikov) l1,0.8683010262257697,0.09068712287710122,0.10416666132667242,0.11033471912814309,0.11598268490169404,0.1269596884991729,0.1711145351491301,0.2765795861546436
pbc,0,k-NN (Epanechnikov) l2,0.87115165336374,0.08673765388302233,0.09928060388396878,0.10451144957915824,0.10843915896487676,0.11627159927735628,0.15269143859659395,0.19414132748827864
pbc,0,k-NN (Epanechnikov) cosine,0.8529076396807298,0.08166848383660666,0.09197208889413981,0.09636951046034335,0.0999418296459411,0.10703837485606664,0.12963496896670126,0.15522837549200333
pbc,0,k-NN (truncated Gauss sigma=1) l1,0.8722919042189282,0.09505637159372086,0.10985272253909822,0.11655029929009827,0.1237920434650784,0.13765249967971088,0.19127763678685322,0.23767922100291586
pbc,0,k-NN (truncated Gauss sigma=1) l2,0.854618015963512,0.08037048129943043,0.09165352804844155,0.09704788119249065,0.10118940340335086,0.10889840292874135,0.1559616137628577,0.21402329159646755
pbc,0,k-NN (truncated Gauss sigma=1) cosine,0.8335233751425314,0.08110395452004156,0.09182254632903467,0.0962228170436592,0.099481370302849,0.10595162404967272,0.12549621407843375,0.1615313917990295
pbc,0,k-NN (truncated Gauss sigma=2) l1,0.8340935005701254,0.09504229059822314,0.11008953739247891,0.11686583702950078,0.1243059569359935,0.1385348754253336,0.1934600021483188,0.23979970562020672
pbc,0,k-NN (truncated Gauss sigma=2) l2,0.8204104903078677,0.07982110903486286,0.09130988159651758,0.09680659403741443,0.10112349195890284,0.10916527430291321,0.14747848428051988,0.2161021700813554
pbc,0,k-NN (truncated Gauss sigma=2) cosine,0.8232611174458381,0.08260885652723962,0.09254590004889135,0.09704579423958261,0.10045782393313715,0.10711207651169415,0.12663063725860146,0.14796589047860195
pbc,0,k-NN (truncated Gauss sigma=3) l1,0.8580387685290763,0.09505784876442447,0.11015302407038809,0.11694450038835823,0.12442180646923104,0.13449086512110395,0.17945418401681984,0.2947536512304963
pbc,0,k-NN (truncated Gauss sigma=3) l2,0.8124287343215507,0.07973919875159718,0.09126709627196936,0.09678381278368771,0.10113388376915464,0.1186317530644028,0.15815121733118614,0.21131910169213688
pbc,0,k-NN (truncated Gauss sigma=3) cosine,0.8209806157354618,0.0816277516193519,0.09270410553719949,0.09722336832482875,0.09997941512599501,0.10645956556711997,0.1291906905710271,0.16404824961881645
gbsg2,0,k-NN l1,0.6692774795388542,0.11173765451555659,0.12933212259274518,0.15366218480026386,0.16255698178591912,0.1696882284789096,0.19471550727571982,0.4444704865220863
gbsg2,0,k-NN l2,0.680630115286456,0.11205203229889615,0.1288440122784985,0.15234415115577474,0.16099177692625607,0.1678798024845248,0.1916448618024457,0.4664874901264255
gbsg2,0,k-NN cosine,0.6710375781043738,0.11035608727064984,0.12714521030865847,0.1504963549853226,0.15923952138768172,0.16622342320182137,0.19047275725973561,0.454522093093864
gbsg2,0,k-NN (triangle) l1,0.6881985391181906,0.11004009157148185,0.12708289627327315,0.15092836753914873,0.15966052947607723,0.16664982828717453,0.19142906092202977,0.4295053986499557
gbsg2,0,k-NN (triangle) l2,0.6679574056147144,0.1098075825074159,0.12666352146850124,0.15057408048700666,0.1595730248694023,0.1667866189002083,0.19217856738950417,0.43510455573708035
gbsg2,0,k-NN (triangle) cosine,0.6697175041802341,0.10863215265607358,0.12502399240959242,0.14812169828868457,0.15683608084012432,0.16378887450392812,0.18738946495781778,0.44124358484103227
gbsg2,0,k-NN (Epanechnikov) l1,0.6839743025609434,0.1107169545423605,0.12788455167105442,0.15183887170784455,0.16055422592232454,0.16456277999001953,0.1890947714997329,0.4319102950612341
gbsg2,0,k-NN (Epanechnikov) l2,0.6637331690574673,0.10970235665936241,0.12634192514916698,0.14996307130209305,0.15896102374989293,0.16614897222828498,0.19081797392576288,0.43710821649601417
gbsg2,0,k-NN (Epanechnikov) cosine,0.6748217900202411,0.10960827584303527,0.12614111138204911,0.14923783058748993,0.15786498834423832,0.16475911080084502,0.18815547783319173,0.4509276887770947
gbsg2,0,k-NN (truncated Gauss sigma=1) l1,0.6695414943236822,0.11099989782092473,0.12838669111203058,0.15253102492831777,0.16140370837893422,0.16850501635633128,0.19344883558380888,0.44071744938559043
gbsg2,0,k-NN (truncated Gauss sigma=1) l2,0.6484203115374461,0.11091867581791919,0.12781029257500495,0.15176221235327517,0.1607651885740351,0.16798218487073743,0.19345787177415835,0.436735063726302
gbsg2,0,k-NN (truncated Gauss sigma=1) cosine,0.6745577752354132,0.11154095671581657,0.12558036280333926,0.14837521413040652,0.15678852588168296,0.16350859224009068,0.1859797858813855,0.45126137688266904
gbsg2,0,k-NN (truncated Gauss sigma=2) l1,0.680454105429904,0.11155540865630742,0.12909773704696467,0.15338058773999794,0.1622686515751577,0.16939125056019144,0.19439448819283822,0.4422926208765993
gbsg2,0,k-NN (truncated Gauss sigma=2) l2,0.643404030625715,0.11128941249896412,0.12823012045833043,0.1522431657112826,0.16125422028910166,0.1684854344955005,0.19411100672629192,0.46527612758531167
gbsg2,0,k-NN (truncated Gauss sigma=2) cosine,0.6900466426119862,0.11026971824215646,0.12703692828851762,0.1503620877549313,0.15909228312469814,0.16606553998714604,0.1902525952084458,0.4552271312036414
gbsg2,0,k-NN (truncated Gauss sigma=3) l1,0.665053242981607,0.11165685687630705,0.12922813687152807,0.1535371557313862,0.16242886359218425,0.16955617472655757,0.19457251997765163,0.44402651357422945
gbsg2,0,k-NN (truncated Gauss sigma=3) l2,0.6412039074188155,0.11135509881637565,0.1283041644760816,0.15223585660586564,0.16089606908995574,0.16779473232666617,0.19159026369310553,0.45285693767098034
gbsg2,0,k-NN (truncated Gauss sigma=3) cosine,0.6832702631347356,0.11031784441999824,0.12709724373500753,0.1504367074794913,0.15917396151626603,0.16615301542876204,0.19037424093753055,0.454154007771141
recid,0,k-NN l1,0.6497594951985242,0.16575520990658266,0.16841228382838905,0.17051760303554736,0.1765833337707623,0.1765833337707623,0.19420757702255556,0.2343348309046845
recid,0,k-NN l2,0.639130734617175,0.16545525937172023,0.16807368413733528,0.1701380638517258,0.1761149235896474,0.1761149235896474,0.19327796138143227,0.23527149365035468
recid,0,k-NN cosine,0.6425874523731531,0.16441098740428425,0.16689125884821132,0.16883762730632113,0.1744929927431728,0.1744929927431728,0.1905844299497561,0.2269028766288587
recid,0,k-NN (triangle) l1,0.6566212092477975,0.16430663719872374,0.16694740840484065,0.16903319077191134,0.1750505912117575,0.1750505912117575,0.19258285939284903,0.23254551927832978
recid,0,k-NN (triangle) l2,0.6448976777063256,0.16629301619872508,0.16881652820392626,0.17081989135228234,0.17667583550085011,0.17667583550085011,0.19351201590312808,0.23158381381372475
