dataset,experiment_idx,method,cindex,IPEC (0.50),IPEC (0.60),IPEC (0.70),IPEC (0.75),IPEC (0.80),IPEC (0.90),IPEC (1.00)
pbc,0,random survival forest,0.8363740022805017,0.08470359620352193,0.09443416423466366,0.09885877573314236,0.10382837761694526,0.11568863272716269,0.13882472584712963,0.16341180812655567
gbsg2,0,random survival forest,0.7088796972630468,0.10344793207679806,0.11976415354745304,0.14222954755472692,0.15187359017321533,0.15868689915544115,0.18168200573217735,0.40179681879637286
recid,0,random survival forest,0.6635087840284123,0.159978441733251,0.16236438801002348,0.16422095560770497,0.16962128666235146,0.16962128666235146,0.18523784664359197,0.2206874985012788
pbc,1,random survival forest,0.8034398034398035,0.10117030550636656,0.1128578004965001,0.1313605020058152,0.14244779112586517,0.16319013778908012,0.1901179332459125,0.23077725090727688
gbsg2,1,random survival forest,0.6434711420384773,0.12379501866163035,0.14805315283828135,0.16814357862211385,0.17576598954052575,0.1812507440190849,0.19741355809029387,0.2842707785060451
recid,1,random survival forest,0.6911307714513746,0.16152034463031625,0.16406563290330867,0.16594997039705803,0.17109389780684897,0.17109389780684897,0.18518584949691935,0.2196845463341094
pbc,2,random survival forest,0.8458100558659218,0.07129140143519891,0.08331804498798803,0.09478398528963942,0.10209357166101284,0.12528744902324837,0.15260892914354515,0.1788574892935711
gbsg2,2,random survival forest,0.7022074311230938,0.12516092991209357,0.13969459919451893,0.16037016055691378,0.16744618035612155,0.1732011211498523,0.196184187192684,0.38846081457502146
recid,2,random survival forest,0.6568538362623232,0.1592892690142263,0.16165590538064134,0.165610793962201,0.16818122191007367,0.17205136464900891,0.1824293283476181,0.223240927918321
pbc,3,random survival forest,0.8183844011142062,0.08677895958589066,0.09852297436129168,0.112199144271801,0.12079974185087855,0.1422235603755967,0.17873138640918348,0.19518384225067603
gbsg2,3,random survival forest,0.683895978032628,0.11852531261014068,0.14068024222147826,0.16246963713785864,0.1714376979293706,0.17920690785475732,0.20886187573065382,0.5657135892005506
recid,3,random survival forest,0.6392719249862107,0.16541826983520522,0.1679916812627718,0.17201498005308705,0.17459081639424,0.17799173350702382,0.1895915689651218,0.22936180163088746
pbc,4,random survival forest,0.829971181556196,0.08740498542794196,0.0969541654802962,0.10461876806209484,0.10789510025230274,0.11885185333823299,0.13984761769129436,0.15521932634568478
gbsg2,4,random survival forest,0.731960531960532,0.10712611856726949,0.12794567603005133,0.14669784111694023,0.1541787253660908,0.1595354296013366,0.1840890214360292,0.4636337072737678
recid,4,random survival forest,0.6642818170617949,0.15420100094654304,0.15636131980171675,0.15972147477028664,0.1619014331582911,0.16521079983271372,0.1774723733273058,0.2163044117992424
pbc,5,random survival forest,0.8395061728395061,0.07728024132706932,0.08770862000334237,0.09377385528337424,0.09999511213561757,0.11096316957369755,0.13364376399271505,0.1861959758110774
gbsg2,5,random survival forest,0.6823431690530812,0.1263277229581826,0.142250920194227,0.16303809904841063,0.17382430304406557,0.1812486425773905,0.2123837403358399,0.5368290975368223
recid,5,random survival forest,0.6248394554328282,0.15983098548165006,0.16206773041273256,0.16564015704526774,0.16797934385151544,0.17101244482841052,0.18074539308174337,0.21282722318841457
pbc,6,random survival forest,0.7713853141559425,0.059935184837025396,0.07522050078677803,0.08667753514648084,0.09632679703184047,0.11587138597567742,0.15798609553362486,0.22835491135834995
gbsg2,6,random survival forest,0.7055214723926381,0.10819999982998839,0.12309223158765219,0.15063434517746346,0.16473238265667714,0.17195305010950532,0.19163202485991504,0.32759792822991074
recid,6,random survival forest,0.5990300828873389,0.16057197723424327,0.16299673692779107,0.16463592420716863,0.1690640096139929,0.1720943603628642,0.18176441213104527,0.21306328451962295
pbc,7,random survival forest,0.8304020100502513,0.05658713653833795,0.06796652246626235,0.07862307945250041,0.08661171553468439,0.10683691252800126,0.14852359679051025,0.20490417234405983
gbsg2,7,random survival forest,0.6946053284792322,0.10647074912933957,0.13196016927564233,0.1533716518864173,0.16346884592185554,0.17101481699852877,0.19631332512342678,0.5482501778324628
recid,7,random survival forest,0.6464939237323648,0.1588530024555778,0.16119989579309718,0.1649689389865848,0.16743502184103098,0.17085690997362332,0.1822500718379772,0.2151210950809591
pbc,8,random survival forest,0.8601206801974767,0.0746598633062168,0.09028436322132259,0.0997124337262949,0.10788724613489509,0.11685742551528318,0.12908682932666632,0.1709103936978207
gbsg2,8,random survival forest,0.7034959349593496,0.11244188230239086,0.13262755997323972,0.15197836851768598,0.16051859561173568,0.16582848531345154,0.19201915264848446,0.3861485281991338
recid,8,random survival forest,0.6626456477039068,0.15627986169364924,0.15874951542439392,0.16058866778979713,0.16576727175699002,0.16576727175699002,0.1815881875176875,0.21971207011407015
pbc,9,random survival forest,0.8105330764290302,0.07593748756668718,0.0837829138888754,0.09431695581076989,0.10022137833208436,0.11350560482392015,0.15708708500012586,0.2163899458436724
gbsg2,9,random survival forest,0.7178593086719224,0.12804373242117248,0.1474421815167329,0.1651256465533538,0.1792116750772167,0.18528420215767188,0.21379564309417412,0.7437151823336942
recid,9,random survival forest,0.6428583614836046,0.16640054126654125,0.1676208721919645,0.17146470086063176,0.17405171217113594,0.17757058792644168,0.18914717111841223,0.22822029945038946
