dataset,experiment_idx,method,cindex,IPEC (0.50),IPEC (0.60),IPEC (0.70),IPEC (0.75),IPEC (0.80),IPEC (0.90),IPEC (1.00)
pbc,0,adaptive kernel,0.8397947548460661,0.09513491338026021,0.10938834036020648,0.11652170606306518,0.12437406806143379,0.13895708611246194,0.18218098763060117,0.2914534682740569
gbsg2,0,adaptive kernel,0.7062395494147672,0.10807937065292289,0.12620038783378346,0.1459277510894335,0.15478961819264542,0.16201424976563383,0.1865889127622331,0.44484858448713893
recid,0,adaptive kernel,0.672051445614882,0.16489538357884403,0.1655149284224821,0.16764486927660638,0.1737598408209125,0.1737598408209125,0.19210284969942193,0.23439395628731652
pbc,1,adaptive kernel,0.826044226044226,0.11036551667745763,0.13140545787353025,0.15702235888885668,0.17388575293847025,0.19970298944874673,0.24913391487949685,0.3284718228102847
gbsg2,1,adaptive kernel,0.6619729840360213,0.13095600672159657,0.1582938669740717,0.1727477834646974,0.1814808792355673,0.18785521155766785,0.20763678807571304,0.3129761632101163
recid,1,adaptive kernel,0.6623393163409126,0.1697061946658721,0.17249635338840064,0.1746541451123975,0.1805133238373907,0.1805133238373907,0.19911787104851494,0.24154676680034076
pbc,2,adaptive kernel,0.846927374301676,0.07478243072747828,0.09094523274164884,0.10657918376602811,0.12335956810796107,0.15972942353457928,0.2100232028175271,0.2843926597264517
gbsg2,2,adaptive kernel,0.6931502232707052,0.13057463171987493,0.1456821723696088,0.16754451877298587,0.17523464576486533,0.1814310811174975,0.2152873826485775,0.38861152425996315
recid,2,adaptive kernel,0.6658894127732533,0.1662028582649078,0.16911402390946612,0.17418821637415977,0.17746596137495754,0.1824662538709894,0.19529706101994795,0.24349668133371782
pbc,3,adaptive kernel,0.8066852367688022,0.09915190635800683,0.12163426125958796,0.14380734513351826,0.15791017237159188,0.1905541075452873,0.2515686103003814,0.3308590222886835
gbsg2,3,adaptive kernel,0.6836536908415441,0.12571368071913408,0.1491540686435096,0.17249891057258449,0.18139531207007115,0.18990312025193024,0.22036297552396478,0.5133364702557679
recid,3,adaptive kernel,0.6600592939878654,0.16945617362327406,0.17274382906649866,0.1781482055516244,0.18158790242009734,0.18234015195825268,0.19694493002070768,0.247634718885953
pbc,4,adaptive kernel,0.8530259365994236,0.08973895789969208,0.10089830542673886,0.10890784560221516,0.11197249364898154,0.1246543782997276,0.1518085948232236,0.24656901822023813
gbsg2,4,adaptive kernel,0.6921492921492921,0.11252363029142667,0.13553081158975128,0.15619580961972762,0.1643666662843657,0.16747072485241504,0.1924109680280809,0.4152215313659792
recid,4,adaptive kernel,0.6776316947392506,0.1567516950951081,0.1591017798072632,0.16292293040021336,0.16541517357161173,0.16926229636179801,0.18226450277183748,0.22783649534820138
pbc,5,adaptive kernel,0.7907113462669019,0.077261963508753,0.08957626234734302,0.09737573551775969,0.10715874680667987,0.12233800913061613,0.1528870195892413,0.23610466106189532
gbsg2,5,adaptive kernel,0.6995490863064631,0.13029798729922482,0.14611828275537517,0.17014342451218123,0.18183221725238763,0.18981145800947635,0.22360881449793582,0.5674478145583574
recid,5,adaptive kernel,0.6299585336317933,0.16288098750080948,0.16561510929700168,0.1717166748326503,0.17441315972320615,0.17808003552975124,0.18968490188364975,0.2277064066384158
pbc,6,adaptive kernel,0.7441332323996972,0.06125369895216082,0.07947673504826028,0.09311343299989726,0.10438840226796874,0.12499439651828156,0.17930037846800528,0.3159403892513115
gbsg2,6,adaptive kernel,0.7061179277436946,0.1086879113435709,0.12636302490341791,0.1545208518157821,0.1685378653421292,0.1765668002875005,0.1972867450325312,0.347234415323351
recid,6,adaptive kernel,0.6035898525803273,0.15708044001420743,0.1595450475938377,0.1613146720080782,0.16613094434648606,0.16960449568426483,0.1822590954600345,0.2187948859065449
pbc,7,adaptive kernel,0.8297738693467337,0.05693812503264026,0.07121343025222088,0.08258611783621243,0.09164868655100389,0.11723671471412588,0.18023947126696185,0.2555221236748789
gbsg2,7,adaptive kernel,0.7065199404269402,0.1078834765786926,0.13541229245309572,0.1611542060347662,0.17281528441448396,0.18156946171919067,0.21015267357842812,0.5272863039584983
recid,7,adaptive kernel,0.6504050845090097,0.16170772512701187,0.16460109514134436,0.16948336580057777,0.17264556744951828,0.17888835114457827,0.1924601078077474,0.23504260736752708
pbc,8,adaptive kernel,0.8409215578716401,0.08456049274855802,0.10023396888374367,0.11346578385228415,0.12497250193771782,0.13832849529314797,0.16806002961449762,0.2456230747692882
gbsg2,8,adaptive kernel,0.6985365853658536,0.1176685351834785,0.13842309441576925,0.15974073753513607,0.1692763618850934,0.17527118772403263,0.20398949907193184,0.3737262509824713
recid,8,adaptive kernel,0.6630654557916381,0.1618128963282058,0.16499658471525358,0.16746177483683844,0.17425479323886858,0.17425479323886858,0.19394970707016773,0.24132555793060267
pbc,9,adaptive kernel,0.7970456005138086,0.0790403181696628,0.09039166360518716,0.10399411171443675,0.11133021488974189,0.12832836352107063,0.20076406711127978,0.2793599728488845
gbsg2,9,adaptive kernel,0.7023195876288659,0.13505552939316093,0.15610422211180233,0.17543565297615743,0.1907418514715694,0.19723754357901246,0.22756212743978024,0.7908926132977145
recid,9,adaptive kernel,0.6387040638755246,0.1749150389753863,0.17660604837532548,0.18191207122480305,0.18540824299783348,0.1903351090979142,0.19958162318064845,0.24878092221882805
